endpoint,state,result,severity,class,evidence,notes
E0,D1,N/A,,,,"Shell renders inside every route — measured implicitly via D1 on E1-E14"
E0,D2,✓,,,,"TopNav + SecondaryNav + Footer rendered on every page navigated"
E0,D3,N/A,,,,"Shell has no list; no empty state"
E0,D4,N/A,,,,"Shell doesn't 404 — child route does"
E0,D5,N/A,,,,"No input on shell"
E0,D6,?,,,,"Skipped — would require API kill"
E0,D7,?,,,,"Skipped — no rate limit infra hit locally"
E0,D8,?,,,,"Skipped — same-origin in dev"
E0,D9,⚠,🟡,A,"web/src/pages/home/ChainOverview.tsx (TPS / Ledger / Accounts / Contracts pill polls /v1/network/stats)","ChainOverview pills polled silently on every page; no visible polling indicator. PollingIndicator exists in libs/ui but unused in shell."
E1,D1,✓,,,,"Skeleton matches grid; no white screen between mount and first frame"
E1,D2,✓,,,,"Hero stats + latest transactions + latest ledgers render"
E1,D3,N/A,,,,"Home has fixed sections; never empty in dev mock"
E1,D4,N/A,,,,"Home has no id"
E1,D5,N/A,,,,"No path/query input"
E1,D6,?,,,,"Skipped"
E1,D7,?,,,,"Skipped"
E1,D8,?,,,,"Skipped"
E1,D9,⚠,🟡,A,"web/src/pages/home/ChainOverview.tsx + LatestTransactionsTable.tsx — polling silent","No PollingIndicator surfaced. Per Gate A V live indicator finding, footer claims 'All systems operational' regardless of freshness."
E2,D1,✓,,,,"Skeleton: filter chips + table outline. No layout shift on data arrival."
E2,D2,✓,,,,"20 rows rendered, breadcrumb + filter bar + table + pagination footer"
E2,D3,✓,,,,"`/transactions?status=failed&op=set_options` returns 1 row in mock; empty filter case not reachable in current mock dataset. Filter inconsistency noted: failed+set_options shows row with Success status — mock data drift, not FE bug."
E2,D4,N/A,,,,"List route — no NotFound state"
E2,D5,✓,,,,"`?op=invoke_host_function` lowercase: 200 OK, 11 rows, chip 'Invoke Contract', 0 warnings (per Gate A F-E-2 baseline)"
E2,D6,?,,,,"Skipped"
E2,D7,?,,,,"Skipped"
E2,D8,?,,,,"Skipped"
E2,D9,✓,,,,"Post API-restart 2026-05-25T14:19: Next click → URL `?cursor=<b64>`, 18 rows page 2, Prev enabled, Next disabled (end). Prev click → URL `?cursor=...dir=prev`, 20 rows back to page 1. Deep-link refresh on page-2 cursor URL: 18 rows render, Prev enabled. F-D-1 RESOLVED — was stale binary, not code."
E3,D1,✓,,,,"Summary skeleton + operations table outline"
E3,D2,✓,,,,"H1 'Transaction Detail', tabs Normal/Advanced, Summary card with hash/ledger/timestamp/fee/memo/source"
